SeriesInd,group,Var01,Var02,Var03,Var05,Var07
40669,S03,30.64285657,123432400,30.34000014,30.48999971,30.57285686
40670,S03,30.79857057,150476200,30.46428486,30.65714257,30.62571329
40671,S03,30.74714286,138040000,30.10714343,30.62571329,30.13857071
40672,S03,30.28571514,119282800,29.86428643,30.25,30.08285714
40673,S03,30.28571514,111902700,29.865715,30.04285629,30.28285786
40676,S03,30.42857171,115557400,29.77857214,30.39999957,30.01571471
40677,S03,29.96714214,148614900,29.48857114,29.884285,29.67428586
40678,S03,30.13285643,151473000,29.15714257,29.695715,30.09285743
40679,S03,30.06571386,108223500,29.86000057,30.01571471,29.91857143
40680,S03,30.228571,148516900,29.40999986,30.13285643,29.41857143
40684,S03,30.74142843,182501900,29.60571486,29.76142886,30.71999929
40685,S03,30.79285629,153038200,29.92857171,30.70142943,30.24714286
40686,S03,30.47285657,152038600,29.601429,30.297142,29.72428514
40687,S03,29.64285657,220441900,28.16571429,29.54000086,28.25
40690,S03,29.242857,266424900,28.59857171,28.93000029,29.01000029
40691,S03,30.53000071,466777500,28.94000057,29.42142871,29.42000014
40692,S03,30.08285714,430642100,28.50428586,29.54999929,29.69714357
40693,S03,29.35714343,293375600,28.38571357,29.27571486,28.46999929
40694,S03,28.88571357,311488100,27.17857171,28.72571371,27.43714329
40697,S03,28,187469100,27.32857129,27.48142814,27.81857114
40698,S03,28.04571343,174585600,27.62571329,27.98714257,27.97999957
40699,S03,28.60000043,153832000,27.77428629,27.88142771,28.46142771
40700,S03,28.33857157,189413000,27.36714357,28.10428614,27.43571471
40701,S03,28,212576700,27.264286,27.51857186,27.92285729
40704,S03,28.26857186,119567700,27.71428486,27.95571514,27.73142814
40705,S03,28.21428486,158221700,27.82142829,28.05999943,28.02714343
40706,S03,28.08571429,92590400,27.75142857,27.98428529,27.87428671
40707,S03,28.53571514,137586400,27.72285657,27.84000014,28.38142771
40708,S03,28.80571371,163867200,27.92857171,28.30142786,28.62571329
40712,S03,29.09857171,135934400,28.78857229,28.84857171,29.05714229
40713,S03,29.18714329,109099200,28.69428629,29.17000014,28.93571471
40714,S03,29.127142,105706300,28.702858,28.804285,28.98999971
40715,S03,29.02857214,103867400,28.72999957,28.837143,28.80999943
